Country,ISO,Year,TFR,"Marriage Rate (per 1,000)",Female LFPR (%),Tertiary Enrolment (%),House Price Index,Median Income (LCU),Real Income Index (2004=1),PIR [Computed],CPI (2010=100),CPI Indexed (2004=100),GNI per Capita (USD),GDP per Capita (USD),ln(GDP per Capita),Urban Pop (%),Policy Spending (% GDP)
Indonesia,IDN,2022,2.149,6.2,54.65,42.33,69.52,22181700,1.9452,0.3574,154.97,217.65,4520,4731,8.462,57.49,0.21
Indonesia,IDN,2023,2.127,5.66,55.52,44.88,68.06,23502240,1.9893,0.3421,160.56,225.51,4810,4876,8.492,58.12,0.2
Singapore,SGP,2004,1.26,5.75,57.56,47.5,100,14196,1,1,87.57,100,26170,27608,10.226,100,0.28
Singapore,SGP,2005,1.26,5.61,58.87,51.9,102.39,14820,1.0396,0.9849,87.94,100.43,28830,29961,10.308,100,0.3
Singapore,SGP,2006,1.28,5.57,60.16,55.9,108.68,15600,1.0838,1.0028,88.79,101.39,32550,33768,10.427,100,0.32
Singapore,SGP,2007,1.29,5.5,58.64,58.6,131.37,16800,1.1423,1.15,90.66,103.53,36010,39433,10.582,100,0.38
Singapore,SGP,2008,1.28,5.08,61.26,59.9,138.65,19000,1.2159,1.1403,96.68,110.4,37230,40009,10.597,100,0.43
Singapore,SGP,2009,1.22,4.92,60.75,63.6,118.22,18600,1.1813,1.0008,97.25,111.05,37320,38927,10.569,100,0.52
Singapore,SGP,2010,1.15,4.8,62.37,71,144.11,20500,1.2584,1.1452,100,114.2,44930,47237,10.763,100,0.55
Singapore,SGP,2011,1.2,4.97,62.95,72,149.92,21600,1.266,1.1842,105.25,120.19,48250,53891,10.895,100,0.56
Singapore,SGP,2012,1.29,5.2,63.79,81.3,146.71,22800,1.2778,1.1481,110.07,125.7,51710,55548,10.925,100,0.57
Singapore,SGP,2013,1.19,5.26,64.01,82.7,147.86,24000,1.3139,1.1254,112.68,128.67,54470,56967,10.95,100,0.62
Singapore,SGP,2014,1.25,5.05,65.44,86.6,142.14,25200,1.3655,1.0409,113.84,130,56380,57565,10.961,100,0.65
Singapore,SGP,2015,1.24,4.93,67.23,89.5,137.38,27000,1.4707,0.9341,113.25,129.32,53160,55646,10.927,100,0.73
Singapore,SGP,2016,1.2,5.07,67.45,83.9,133.8,28200,1.5442,0.8665,112.65,128.64,53470,57006,10.951,100,0.78
Singapore,SGP,2017,1.16,5.1,67.14,84.8,131.57,30000,1.6335,0.8054,113.29,129.38,55230,61236,11.022,100,0.82
Singapore,SGP,2018,1.14,5.08,67.4,88.9,141.2,31800,1.7239,0.8191,113.79,129.95,56360,66882,11.111,100,0.86
Singapore,SGP,2019,1.14,4.91,68.67,91.1,143.58,33000,1.7788,0.8072,114.44,130.68,58430,65952,11.097,100,0.89
Singapore,SGP,2020,1.1,3.83,68.72,93.1,146.13,34200,1.8467,0.7913,114.24,130.46,55780,61410,11.025,100,1.02
Singapore,SGP,2021,1.12,5.19,71.9,97.1,154.19,34800,1.8365,0.8396,116.89,133.48,65010,80056,11.29,100,1.05
Singapore,SGP,2022,1.04,5.39,70.45,98,160.03,36600,1.82,0.8793,124.05,141.66,66910,90299,11.411,100,0.98
Singapore,SGP,2023,0.97,4.78,71.3,97.3,164.06,40000,1.867,0.8787,130.05,148.51,69850,85412,11.355,100,0.96
South Korea,KOR,2004,1.164,6.4,54.55,89.8,100,27800000,1,1,83.84,100,16790,17122,9.748,81.1,0.52
South Korea,KOR,2005,1.085,6.5,54.71,95.37,98.28,29200000,1.0222,0.9615,86.15,102.75,19230,20167,9.912,81.39,0.61
South Korea,KOR,2006,1.132,6.8,55.02,99.95,102.36,31000000,1.0614,0.9644,88.08,105.06,21610,22610,10.026,81.57,0.72
South Korea,KOR,2007,1.259,7,54.9,102.95,109.05,32800000,1.0952,0.9957,90.32,107.72,24390,25078,10.13,81.71,0.97
South Korea,KOR,2008,1.192,6.6,54.83,103.14,108.01,34600000,1.1037,0.9786,94.54,112.76,24840,22252,10.01,81.84,1.13
South Korea,KOR,2009,1.149,6.2,54.11,102.66,106.02,35200000,1.0928,0.9702,97.14,115.86,22960,19937,9.9,81.92,1.28
South Korea,KOR,2010,1.226,6.5,54.55,101.67,106.86,37500000,1.1309,0.9449,100,119.27,23250,24071,10.089,81.97,1.4
South Korea,KOR,2011,1.244,6.6,54.99,100.82,108.12,39800000,1.1538,0.9371,104.03,124.07,24590,26175,10.173,81.96,1.52
South Korea,KOR,2012,1.297,6.5,55.31,98.29,108.82,42000000,1.1916,0.9132,106.3,126.78,26780,26601,10.189,81.91,1.64
South Korea,KOR,2013,1.187,6.4,55.95,96.34,106.96,43500000,1.2183,0.8779,107.68,128.43,28210,28449,10.256,81.83,1.71
South Korea,KOR,2014,1.205,6,57.25,94.44,107.39,45000000,1.2444,0.863,109.06,130.07,29480,30667,10.331,81.73,1.84
South Korea,KOR,2015,1.239,5.9,58.21,93.97,110.96,46800000,1.2851,0.8634,109.83,130.99,30130,30172,10.315,81.64,2.01
South Korea,KOR,2016,1.172,5.5,58.58,93.66,112.98,48500000,1.319,0.8566,110.89,132.26,30850,30832,10.336,81.56,2.17
South Korea,KOR,2017,1.052,5.2,59.23,93.72,112.2,50200000,1.3392,0.8378,113.05,134.83,31940,33297,10.413,81.47,2.34
South Korea,KOR,2018,0.977,5,59.57,93.33,112.49,52800000,1.388,0.8104,114.72,136.82,34610,35364,10.473,81.38,2.55
South Korea,KOR,2019,0.918,4.7,60.11,94,113.3,54500000,1.4273,0.7938,115.16,137.35,35790,33827,10.429,81.29,2.79
South Korea,KOR,2020,0.837,4.2,59.23,96.88,117.4,55000000,1.4326,0.8195,115.78,138.09,35000,33646,10.424,81.18,3.18
South Korea,KOR,2021,0.808,3.8,60.07,100.36,130.38,58300000,1.4816,0.88,118.67,141.54,37450,37518,10.533,81.16,3.21
South Korea,KOR,2022,0.778,3.7,62.06,102.81,129.94,62400000,1.509,0.8611,124.71,148.74,38590,34822,10.458,81.16,3.05
South Korea,KOR,2023,0.721,3.8,63.24,106.71,118.72,65000000,1.5173,0.7824,129.2,154.09,38020,35674,10.482,81.16,2.98
